name,East,North,id
Bakin_Gulbi,308209.0399,1448996.188,p0
Chama_Park,307764.6669,1445630.307,p1
Nielloua_t1,306890,1453433,p2
Nielloua_t2,306472,1452980,p3
GF1_Nielloua,306544.7526,1455336.574,p4
GF2_Nielloua,306216.6803,1455248.177,p5
GF3_Nielloua,306766.3989,1455401.388,p6
up_cell,310075,1433119,p7
lake_cell,310075,1442928,p8
down_cell,309100,1447800,p9
hw_15,311937,1436775,p10
hw_16,312682,1437520,p11
hw_17,311937,1437520,p12
lake_cell2,309118,1445781,p13
down_cell1,309215,1446851,p14
down_cell2,310025,1447563,p15
j1,305541,1447546,p16
j2,306451,1447546,p17
j3,307361,1447546,p18
j4,308271,1447546,p19
j5,309182,1447546,p20
j6,310092,1447546,p21
j7,311002,1447546,p22
j8,311912,1447546,p23
j9,312822,1447546,p24
j10,313732,1447546,p25
j11,305541,1446636,p26
j12,306451,1446636,p27
j13,307361,1446636,p28
j14,308271,1446636,p29
j15,309182,1446636,p30
j16,310092,1446636,p31
j17,311002,1446636,p32
j18,311912,1446636,p33
j19,312822,1446636,p34
j20,313732,1446636,p35
j21,305541,1445726,p36
j22,306451,1445726,p37
j23,307361,1445726,p38
j24,308271,1445726,p39
j25,309182,1445726,p40
j26,310092,1445726,p41
j27,311002,1445726,p42
j28,311912,1445726,p43
j29,312822,1445726,p44
j30,313732,1445726,p45
j31,305541,1444816,p46
j32,306451,1444816,p47
j33,307361,1444816,p48
j34,308271,1444816,p49
j35,309182,1444816,p50
j36,310092,1444816,p51
j37,311002,1444816,p52
j38,311912,1444816,p53
j39,312822,1444816,p54
j40,313732,1444816,p55
j41,305541,1443906,p56
j42,306451,1443906,p57
j43,307361,1443906,p58
j44,308271,1443906,p59
j45,309182,1443906,p60
j46,310092,1443906,p61
j47,311002,1443906,p62
j48,311912,1443906,p63
j49,312822,1443906,p64
j50,313732,1443906,p65
j51,305541,1442996,p66
j52,306451,1442996,p67
j53,307361,1442996,p68
j54,308271,1442996,p69
j55,309182,1442996,p70
j56,310092,1442996,p71
j57,311002,1442996,p72
j58,311912,1442996,p73
j59,312822,1442996,p74
j60,313732,1442996,p75
j61,305541,1442085,p76
j62,306451,1442085,p77
j63,307361,1442085,p78
j64,308271,1442085,p79
j65,309182,1442085,p80
j66,310092,1442085,p81
j67,311002,1442085,p82
j68,311912,1442085,p83
j69,312822,1442085,p84
j70,313732,1442085,p85
j71,305541,1441175,p86
j72,306451,1441175,p87
j73,307361,1441175,p88
j74,308271,1441175,p89
j75,309182,1441175,p90
j76,310092,1441175,p91
j77,311002,1441175,p92
j78,311912,1441175,p93
j79,312822,1441175,p94
j80,313732,1441175,p95
j81,305541,1440265,p96
j82,306451,1440265,p97
j83,307361,1440265,p98
j84,308271,1440265,p99
j85,309182,1440265,p100
j86,310092,1440265,p101
j87,311002,1440265,p102
j88,311912,1440265,p103
j89,312822,1440265,p104
j90,313732,1440265,p105
j91,305541,1439355,p106
j92,306451,1439355,p107
j93,307361,1439355,p108
j94,308271,1439355,p109
j95,309182,1439355,p110
j96,310092,1439355,p111
j97,311002,1439355,p112
j98,311912,1439355,p113
j99,312822,1439355,p114
j100,313732,1439355,p115
j101,305541,1438445,p116
j102,306451,1438445,p117
j103,307361,1438445,p118
j104,308271,1438445,p119
j105,309182,1438445,p120
j106,310092,1438445,p121
j107,311002,1438445,p122
j108,311912,1438445,p123
j109,312822,1438445,p124
j110,313732,1438445,p125
j111,313732,1437520,p126
j112,312682,1437520,p127
j113,311937,1437520,p128
j114,311192,1437520,p129
j115,311002,1437520,p130
j116,310092,1437520,p131
j117,309182,1437520,p132
j118,308271,1437520,p133
j119,307361,1437520,p134
j120,306451,1437520,p135
j121,305541,1437520,p136
j122,304631,1437520,p137
j123,304631,1438430,p138
j124,304631,1439340,p139
j125,304631,1440250,p140
j126,304631,1441160,p141
j127,304631,1442070,p142
j128,304631,1442980,p143
j129,304631,1443890,p144
j130,304631,1444800,p145
j131,304631,1445710,p146
j132,304631,1446620,p147
j133,304631,1447530,p148
j134,305091,1447096,p149
j135,306001,1447096,p150
j136,306911,1447096,p151
j137,307821,1447096,p152
j138,308732,1447096,p153
j139,309642,1447096,p154
j140,310552,1447096,p155
j141,311462,1447096,p156
j142,312372,1447096,p157
j143,313282,1447096,p158
j144,305091,1446186,p159
j145,306001,1446186,p160
j146,306911,1446186,p161
j147,307821,1446186,p162
j148,308732,1446186,p163
j149,309642,1446186,p164
j150,310552,1446186,p165
j151,311462,1446186,p166
j152,312372,1446186,p167
j153,313282,1446186,p168
j154,305091,1445276,p169
j155,306001,1445276,p170
j156,306911,1445276,p171
j157,307821,1445276,p172
j158,308732,1445276,p173
j159,309642,1445276,p174
j160,310552,1445276,p175
j161,311462,1445276,p176
j162,312372,1445276,p177
j163,313282,1445276,p178
j164,305091,1444366,p179
j165,306001,1444366,p180
j166,306911,1444366,p181
j167,307821,1444366,p182
j168,308732,1444366,p183
j169,309642,1444366,p184
j170,310552,1444366,p185
j171,311462,1444366,p186
j172,312372,1444366,p187
j173,313282,1444366,p188
j174,305091,1443456,p189
j175,306001,1443456,p190
j176,306911,1443456,p191
j177,307821,1443456,p192
j178,308732,1443456,p193
j179,309642,1443456,p194
j180,310552,1443456,p195
j181,311462,1443456,p196
j182,312372,1443456,p197
j183,313282,1443456,p198
j184,305091,1442546,p199
j185,306001,1442546,p200
j186,306911,1442546,p201
j187,307821,1442546,p202
j188,308732,1442546,p203
j189,309642,1442546,p204
j190,310552,1442546,p205
j191,311462,1442546,p206
j192,312372,1442546,p207
j193,313282,1442546,p208
j194,305091,1441635,p209
j195,306001,1441635,p210
j196,306911,1441635,p211
j197,307821,1441635,p212
j198,308732,1441635,p213
j199,309642,1441635,p214
j200,310552,1441635,p215
j201,311462,1441635,p216
j202,312372,1441635,p217
j203,313282,1441635,p218
j204,305091,1440725,p219
j205,306001,1440725,p220
j206,306911,1440725,p221
j207,307821,1440725,p222
j208,308732,1440725,p223
j209,309642,1440725,p224
j210,310552,1440725,p225
j211,311462,1440725,p226
j212,312372,1440725,p227
j213,313282,1440725,p228
j214,305091,1439815,p229
j215,306001,1439815,p230
j216,306911,1439815,p231
j217,307821,1439815,p232
j218,308732,1439815,p233
j219,309642,1439815,p234
j220,310552,1439815,p235
j221,311462,1439815,p236
j222,312372,1439815,p237
j223,313282,1439815,p238
j224,305091,1438905,p239
j225,306001,1438905,p240
j226,306911,1438905,p241
j227,307821,1438905,p242
j228,308732,1438905,p243
j229,309642,1438905,p244
j230,310552,1438905,p245
j231,311462,1438905,p246
j232,312372,1438905,p247
j233,313282,1438905,p248
j234,305091,1437995,p249
j235,306001,1437995,p250
j236,306911,1437995,p251
j237,307821,1437995,p252
j238,308732,1437995,p253
j239,309642,1437995,p254
j240,310552,1437995,p255
j241,311462,1437995,p256
j242,312372,1437995,p257
j243,313282,1437995,p258
