Date,bc_flux0,bc_flux1,bc_flux2
01/01/1981,1426562.25,0,0
01/02/1981,1578018.25,0,0
01/03/1981,3114344,0,0
01/04/1981,6486132.5,0,0
01/05/1981,10600365,0,0
01/06/1981,13196861,0,0
01/07/1981,13870127,0,0
01/08/1981,12890701,0,0
01/09/1981,10889549,0,0
01/10/1981,8489590,0,0
01/11/1981,6271945.5,0,0
01/12/1981,4522015,0,0
01/13/1981,3280742.5,0,0
01/14/1981,2435856.75,0,0
01/15/1981,1826299.75,0,0
01/16/1981,1498445.5,0,0
01/17/1981,1374537.5,0,0
01/18/1981,1333379.75,0,0
01/19/1981,1319188.875,0,0
01/20/1981,1336158,0,0
01/21/1981,1369474.875,0,0
01/22/1981,1373837.25,0,0
01/23/1981,1330088.25,0,0
01/24/1981,1256790.125,0,0
01/25/1981,1186602.5,0,0
01/26/1981,1131661.625,0,0
01/27/1981,1057810.75,0,0
01/28/1981,987384.125,0,0
01/29/1981,970168.75,0,0
01/30/1981,978686.0625,0,0
01/31/1981,945574,0,0
02/01/1981,832234.25,0,0
02/02/1981,660903.125,0,0
02/03/1981,475405.5313,0,0
02/04/1981,365246.9375,0,0
02/05/1981,359339.9688,0,0
02/06/1981,406343.4063,0,0
02/07/1981,430944.6563,0,0
02/08/1981,396576.8438,0,0
02/09/1981,312452.0625,0,0
02/10/1981,309984.4688,0,0
02/11/1981,397978.375,0,0
02/12/1981,505144.3438,0,0
02/13/1981,549126.875,0,0
02/14/1981,486145.7188,0,0
02/15/1981,511453.4688,0,0
02/16/1981,601544.6875,0,0
02/17/1981,656592.5625,0,0
02/18/1981,611531.8125,0,0
02/19/1981,463622.4688,0,0
02/20/1981,945756.75,0,0
02/21/1981,1315823.25,0,0
02/22/1981,1256106.375,0,0
02/23/1981,909776.125,0,0
02/24/1981,632740.1875,0,0
02/25/1981,416449.4063,0,0
02/26/1981,438637.9688,0,0
02/27/1981,419497.5625,0,0
02/28/1981,272234.0313,0,0
03/01/1981,1397393,0,0
03/02/1981,1227104,0,0
03/03/1981,1012851.875,0,0
03/04/1981,594225.75,0,0
03/05/1981,235813.3594,0,0
03/06/1981,3297205.25,0,0
03/07/1981,1543160.5,0,0
03/08/1981,456182.4375,0,0
03/09/1981,855540.75,0,0
03/10/1981,302999.9375,0,0
03/11/1981,133261.9375,0,0
03/12/1981,18031.09961,0,0
03/13/1981,4899161,0,0
03/14/1981,16090.93457,0,0
03/15/1981,1852.05127,0,0
03/16/1981,78.47134399,0,0
03/17/1981,6673.184082,0,0
03/18/1981,7.83E-40,0,0
03/19/1981,24601.4082,0,0
03/20/1981,1104.063599,0,0
03/21/1981,0,0,0
03/22/1981,0,0,0
03/23/1981,13010.44629,0,0
03/24/1981,0,0,0
03/25/1981,5.397705078,0,0
03/26/1981,11390.50488,0,0
03/27/1981,4991.967285,0,0
03/28/1981,423.5647583,0,0
03/29/1981,20215.08789,0,0
03/30/1981,2493.015869,0,0
03/31/1981,8210.623047,0,0
04/01/1981,3244.072998,0,0
04/02/1981,2860.519043,0,0
04/03/1981,648.8318481,0,0
04/04/1981,16221.83398,0,0
04/05/1981,5776.185059,0,0
04/06/1981,3579.990234,0,0
04/07/1981,422.1063843,0,0
04/08/1981,0,0,0
04/09/1981,7990.254883,0,0
04/10/1981,85.13031006,0,0
04/11/1981,0,0,0
04/12/1981,10081.58984,0,0
04/13/1981,595.255249,0,0
04/14/1981,8777.932617,0,0
04/15/1981,3131.000488,0,0
04/16/1981,0,0,0
04/17/1981,13784.69434,0,0
04/18/1981,2961.305664,0,0
04/19/1981,1063.696289,0,0
04/20/1981,0,0,0
04/21/1981,7884.500488,0,0
04/22/1981,302.9916382,0,0
04/23/1981,13878.21191,0,0
04/24/1981,3236.69043,0,0
04/25/1981,0,0,0
04/26/1981,5451.0625,0,0
04/27/1981,71.63168335,0,0
04/28/1981,413.1692505,0,0
04/29/1981,0,0,0
04/30/1981,2863.210938,0,0
05/01/1981,2457.962891,0,0
05/02/1981,0,0,0
05/03/1981,39653.44531,0,0
05/04/1981,9685.680664,0,0
05/05/1981,3786.858643,0,0
05/06/1981,241.451416,0,0
05/07/1981,0,0,0
05/08/1981,5059.408691,0,0
05/09/1981,0,0,0
05/10/1981,5247.598145,0,0
05/11/1981,0,0,0
05/12/1981,2669.282227,0,0
05/13/1981,7121.914551,0,0
05/14/1981,829.0339355,0,0
05/15/1981,30735.9043,0,0
05/16/1981,8802.786133,0,0
05/17/1981,1404.89209,0,0
05/18/1981,4495.756348,0,0
05/19/1981,2635.081543,0,0
05/20/1981,2096.214111,0,0
05/21/1981,0,0,0
05/22/1981,16301.6543,0,0
05/23/1981,12139.2666,0,0
05/24/1981,12987.1543,0,0
05/25/1981,4204.854492,0,0
05/26/1981,4126.055664,0,0
05/27/1981,20366.44336,0,0
05/28/1981,11420.37109,0,0
05/29/1981,5935.538086,0,0
05/30/1981,2372.26416,0,0
05/31/1981,10728.89453,0,0
06/01/1981,27768.36133,0,0
06/02/1981,20347.78125,0,0
06/03/1981,16233.47168,0,0
06/04/1981,10124.05664,0,0
06/05/1981,16206.2793,0,0
06/06/1981,14005.45996,0,0
06/07/1981,8288.755859,0,0
06/08/1981,27530.62109,0,0
06/09/1981,51751.24219,0,0
06/10/1981,25215.27344,0,0
06/11/1981,12092.67188,0,0
06/12/1981,35429.13672,0,0
06/13/1981,40722.0625,0,0
06/14/1981,13862.5625,0,0
06/15/1981,5061.276367,0,0
06/16/1981,3193.767578,0,0
06/17/1981,18837.26367,0,0
06/18/1981,0,0,0
06/19/1981,151032.6563,0,0
06/20/1981,122584.9766,0,0
06/21/1981,79271.03125,0,0
06/22/1981,95363.09375,0,0
06/23/1981,15140.8877,0,0
06/24/1981,2399.461426,0,0
06/25/1981,82232.82813,0,0
06/26/1981,68498.60938,0,0
06/27/1981,46955.61328,0,0
06/28/1981,26270.22656,0,0
06/29/1981,174123.3125,0,0
06/30/1981,0,0,0
07/01/1981,200687.9219,0,0
07/02/1981,85246.53125,0,0
07/03/1981,52251.20313,0,0
07/04/1981,101232.3672,0,0
07/05/1981,18923.34375,0,0
07/06/1981,1007.279175,0,0
07/07/1981,126902.3828,0,0
07/08/1981,151932.3125,0,0
07/09/1981,119456.7656,0,0
07/10/1981,301614.5,0,0
07/11/1981,1356.846924,0,0
07/12/1981,314216.25,0,0
07/13/1981,789713.875,0,0
07/14/1981,130388.0156,0,0
07/15/1981,358883.9688,0,0
07/16/1981,66447.64063,0,0
07/17/1981,185125.3125,0,0
07/18/1981,69290.49219,0,0
07/19/1981,0,0,0
07/20/1981,12501194,0,0
07/21/1981,4488.434082,0,0
07/22/1981,2066766.75,0,0
07/23/1981,0,0,0
07/24/1981,797783.125,0,0
07/25/1981,193506.9375,0,0
07/26/1981,4077.849365,0,0
07/27/1981,51730.28516,0,0
07/28/1981,65097.77344,0,0
07/29/1981,97684.14063,0,0
07/30/1981,53236.03516,0,0
07/31/1981,5349.645508,0,0
08/01/1981,2121693,0,0
08/02/1981,112603.8047,0,0
08/03/1981,415763.9063,0,0
08/04/1981,178925.0313,0,0
08/05/1981,390615.3125,0,0
08/06/1981,90521.07031,0,0
08/07/1981,320102.1563,0,0
08/08/1981,148311.5938,0,0
08/09/1981,8532.592773,0,0
08/10/1981,12678194,0,0
08/11/1981,175410.7813,0,0
