Date,bc_flux0
01/01/1981,1426562.25
01/02/1981,1578018.25
01/03/1981,3114344
01/04/1981,6486132.5
01/05/1981,10600365
01/06/1981,13196861
01/07/1981,13870127
01/08/1981,12890701
01/09/1981,10889549
01/10/1981,8489590
01/11/1981,6271945.5
01/12/1981,4522015
01/13/1981,3280742.5
01/14/1981,2435856.75
01/15/1981,1826299.75
01/16/1981,1498445.5
01/17/1981,1374537.5
01/18/1981,1333379.75
01/19/1981,1319188.875
01/20/1981,1336158
01/21/1981,1369474.875
01/22/1981,1373837.25
01/23/1981,1330088.25
01/24/1981,1256790.125
01/25/1981,1186602.5
01/26/1981,1131661.625
01/27/1981,1057810.75
01/28/1981,987384.125
01/29/1981,970168.75
01/30/1981,978686.0625
01/31/1981,945574
02/01/1981,832234.25
02/02/1981,660903.125
02/03/1981,475405.5313
02/04/1981,365246.9375
02/05/1981,359339.9688
02/06/1981,406343.4063
02/07/1981,430944.6563
02/08/1981,396576.8438
02/09/1981,312452.0625
02/10/1981,309984.4688
02/11/1981,397978.375
02/12/1981,505144.3438
02/13/1981,549126.875
02/14/1981,486145.7188
02/15/1981,511453.4688
02/16/1981,601544.6875
02/17/1981,656592.5625
02/18/1981,611531.8125
02/19/1981,463622.4688
02/20/1981,945756.75
02/21/1981,1315823.25
02/22/1981,1256106.375
02/23/1981,909776.125
02/24/1981,632740.1875
02/25/1981,416449.4063
02/26/1981,438637.9688
02/27/1981,419497.5625
02/28/1981,272234.0313
03/01/1981,1397393
03/02/1981,1227104
03/03/1981,1012851.875
03/04/1981,594225.75
03/05/1981,235813.3594
03/06/1981,3297205.25
03/07/1981,1543160.5
03/08/1981,456182.4375
03/09/1981,855540.75
03/10/1981,302999.9375
03/11/1981,133261.9375
03/12/1981,18031.09961
03/13/1981,4899161
03/14/1981,16090.93457
03/15/1981,1852.05127
03/16/1981,78.47134399
03/17/1981,6673.184082
03/18/1981,7.83E-40
03/19/1981,24601.4082
03/20/1981,1104.063599
03/21/1981,0
03/22/1981,0
03/23/1981,13010.44629
03/24/1981,0
03/25/1981,5.397705078
03/26/1981,11390.50488
03/27/1981,4991.967285
03/28/1981,423.5647583
03/29/1981,20215.08789
03/30/1981,2493.015869
03/31/1981,8210.623047
04/01/1981,3244.072998
04/02/1981,2860.519043
04/03/1981,648.8318481
04/04/1981,16221.83398
04/05/1981,5776.185059
04/06/1981,3579.990234
04/07/1981,422.1063843
04/08/1981,0
04/09/1981,7990.254883
04/10/1981,85.13031006
04/11/1981,0
04/12/1981,10081.58984
04/13/1981,595.255249
04/14/1981,8777.932617
04/15/1981,3131.000488
04/16/1981,0
04/17/1981,13784.69434
04/18/1981,2961.305664
04/19/1981,1063.696289
04/20/1981,0
04/21/1981,7884.500488
04/22/1981,302.9916382
04/23/1981,13878.21191
04/24/1981,3236.69043
04/25/1981,0
04/26/1981,5451.0625
04/27/1981,71.63168335
04/28/1981,413.1692505
04/29/1981,0
04/30/1981,2863.210938
05/01/1981,2457.962891
05/02/1981,0
05/03/1981,39653.44531
05/04/1981,9685.680664
05/05/1981,3786.858643
05/06/1981,241.451416
