Date,pre,pet
01/01/2000 00:00,1.0,0
01/01/2000 01:00,1,0.001703709
01/01/2000 02:00,1,0.00669873
01/01/2000 03:00,1,0.014644661
01/01/2000 04:00,1,0.025
01/01/2000 05:00,1,0.037059048
01/01/2000 06:00,1,0.05
01/01/2000 07:00,1,0.062940952
01/01/2000 08:00,1,0.075
01/01/2000 09:00,1,0.085355339
01/01/2000 10:00,1,0.09330127
01/01/2000 11:00,1,0.098296291
01/01/2000 12:00,1,0.1
01/01/2000 13:00,1,0.098296291
01/01/2000 14:00,1,0.09330127
01/01/2000 15:00,1,0.085355339
01/01/2000 16:00,1,0.075
01/01/2000 17:00,1,0.062940952
01/01/2000 18:00,1,0.05
01/01/2000 19:00,1,0.037059048
01/01/2000 20:00,1,0.025
01/01/2000 21:00,1,0.014644661
01/01/2000 22:00,1,0.00669873
01/01/2000 23:00,1,0.001703709
02/01/2000 00:00,1,0
02/01/2000 01:00,1,0.001703709
02/01/2000 02:00,1,0.00669873
02/01/2000 03:00,1,0.014644661
02/01/2000 04:00,1,0.025
02/01/2000 05:00,1,0.037059048
02/01/2000 06:00,1,0.05
02/01/2000 07:00,1,0.062940952
02/01/2000 08:00,1,0.075
02/01/2000 09:00,1,0.085355339
02/01/2000 10:00,1,0.09330127
02/01/2000 11:00,1,0.098296291
02/01/2000 12:00,1,0.1
02/01/2000 13:00,1,0.098296291
02/01/2000 14:00,1,0.09330127
02/01/2000 15:00,1,0.085355339
02/01/2000 16:00,1,0.075
02/01/2000 17:00,1,0.062940952
02/01/2000 18:00,1,0.05
02/01/2000 19:00,1,0.037059048
02/01/2000 20:00,1,0.025
02/01/2000 21:00,1,0.014644661
02/01/2000 22:00,1,0.00669873
02/01/2000 23:00,1,0.001703709
03/01/2000 00:00,1,0
03/01/2000 01:00,1,0.001703709
03/01/2000 02:00,1,0.00669873
03/01/2000 03:00,1,0.014644661
03/01/2000 04:00,1,0.025
03/01/2000 05:00,1,0.037059048
03/01/2000 06:00,1,0.05
03/01/2000 07:00,1,0.062940952
03/01/2000 08:00,1,0.075
03/01/2000 09:00,1,0.085355339
03/01/2000 10:00,1,0.09330127
03/01/2000 11:00,1,0.098296291
03/01/2000 12:00,1,0.1
03/01/2000 13:00,1,0.098296291
03/01/2000 14:00,1,0.09330127
03/01/2000 15:00,1,0.085355339
03/01/2000 16:00,1,0.075
03/01/2000 17:00,1,0.062940952
03/01/2000 18:00,1,0.05
03/01/2000 19:00,1,0.037059048
03/01/2000 20:00,1,0.025
